                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                 M_center                                 R_center                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                      70                                      526                  1.0000000000000000E+000                  2.0000000000000000E-002                  6.0914642383596277E+008                  1.3032323836588161E+007                  3.4102431000000001E+028                  1.0134544172127405E+009                  5.5185580235476721E+002                  3.7038926871118251E-008                  2.1083213551940958E-002                 -2.0000071564260146E+001                  7.3574824475199474E-001                  2.1032087815007105E-005                  2.4319777689261998E-001                  4.3317388144040172E-003                  1.2692708198545136E-003                  1.1782540041966985E-002                  2.6426769146474555E-003                  1.7308441486325367E-005                 -1.4045424101859037E-017                  1.2114058772524070E-007                  3.4629229456845750E-012                  4.0042394713662748E-008                  7.1321867172924332E-010                  2.0898481810378373E-010                  1.9399894403569909E-009                  4.3511545816358592E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7308411713762100E-005                  2.0819290237859285E-002                  7.3673245319018661E+003                  9.0053431076238677E+006                  4.6730407569723418E+012                  3.2200877685091805E-027                  3.2200877685091805E-027                  0.0000000000000000E+000                  1.2884075255843328E-028                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9223534205632548E+016 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                                    zone                                     mass                              temperature                                radius_cm                                 conv_vel                                 pressure                               luminosity                                   m_grav                         log_column_depth                                  opacity                                      tau 
                                       1                  1.7308441486325367E-005                  1.4711212126785247E+003                  1.4673494967879868E+009                  0.0000000000000000E+000                  5.2523290892187916E+006                  3.7038926871118251E-008                  1.7308441486325367E-005                 -9.8999999999999986E+001                  1.3546606447654453E-002                  6.6666666666666657E+001 
                                       2                  1.7308441486325285E-005                  1.4711212136441729E+003                  1.4673494967271867E+009                  0.0000000000000000E+000                  5.2523291031473037E+006                  3.7038880134003994E-008                  1.7308441486325285E-005                 -5.2180681023387843E+000                  1.3546606454376428E-002                  6.6666666748656951E+001 
                                       3                  1.7308441486325014E-005                  1.4711212167510312E+003                  1.4673494965257900E+009                  0.0000000000000000E+000                  5.2523291479607737E+006                  3.7038725317313014E-008                  1.7308441486325014E-005                 -4.5833389941382388E+000                  1.3546606476003932E-002                  6.6666667020249776E+001 
                                       4                  1.7308441486324144E-005                  1.4711212258615606E+003                  1.4673494958836021E+009                  0.0000000000000000E+000                  5.2523292793732584E+006                  3.7038231656543669E-008                  1.7308441486324144E-005                 -4.0456111274388435E+000                  1.3546606539427318E-002                  6.6666667886272194E+001 
                                       5                  1.7308441486321663E-005                  1.4711212526463373E+003                  1.4673494940520256E+009                  0.0000000000000000E+000                  5.2523296657380611E+006                  3.7036823700976663E-008                  1.7308441486321663E-005                 -3.5648555869798946E+000                  1.3546606725916082E-002                  6.6666670356229645E+001 
                                       6                  1.7308441486314294E-005                  1.4711213029425787E+003                  1.4673494886105003E+009                  0.0000000000000000E+000                  5.2523303913327875E+006                  3.7032640729250603E-008                  1.7308441486314294E-005                 -3.0893458131957319E+000                  1.3546607076245009E-002                  6.6666677694360615E+001 
                                       7                  1.7308441486303171E-005                  1.4711213634500550E+003                  1.4673494803931029E+009                  0.0000000000000000E+000                  5.2523312643880816E+006                  3.7026323916151733E-008                  1.7308441486303171E-005                 -2.7872576020006563E+000                  1.3546607497955932E-002                  6.6666688775861175E+001 
                                       8                  1.7308441486292041E-005                  1.4711214541957784E+003                  1.4673494721757104E+009                  0.0000000000000000E+000                  5.2523325739710703E+006                  3.7020007103052856E-008                  1.7308441486292041E-005                 -2.6108141734077099E+000                  1.3546608130801380E-002                  6.6666699857362204E+001 
                                       9                  1.7308441486269788E-005                  1.4711216649895728E+003                  1.4673494557409363E+009                  0.0000000000000000E+000                  5.2523356170484135E+006                  3.7007373476855109E-008                  1.7308441486269788E-005                 -2.3886838877879595E+000                  1.3546609602640874E-002                  6.6666722020365654E+001 
